DICA,WASHINGTON REIS,abstencoes,aptos,bairro,cep,endereco,lat,location,lon,nao_considerados,nome_local,nome_munic,num_local,secoes,votos_anulados,votos_brancos,votos_legenda,votos_nominais,votos_nulos,zona
970,928,922,3272,JARDIM PRIMAVERA,25215340,"AV. PRIMAVERA, QD 20/22",-22.68787,"AV. PRIMAVERA, QD 20/22, JARDIM PRIMAVERA, DUQUE DE CAXIAS, Rio de Janeiro",-43.26686,1374,ESCOLA MUNICIPAL REGINA CELI DA SILVA CERDEIRA,DUQUE DE CAXIAS,1074,9,0,93,0,1898,359,126
663,1097,674,2836,IMBARIÊ,25275300,"RUA 14 DE JULHO, LT 13 QD 67",-22.63885,"RUA 14 DE JULHO, LT 13 QD 67, IMBARIÊ, DUQUE DE CAXIAS, Rio de Janeiro",-43.2245,1076,ESCOLA MUNICIPAL PAULO RODRIGUES PEREIRA,DUQUE DE CAXIAS,1180,8,0,105,0,1760,297,127
349,224,341,1012,VILA SÃO LUIS,25065030,"RUA DOUTOR CARLOS ESTEVES, 216",-22.7804303,"RUA DOUTOR CARLOS ESTEVES, 216, VILA SÃO LUIS, DUQUE DE CAXIAS, Rio de Janeiro",-43.294418,439,CENTRO EDUCACIONAL BERBERT BARROS,DUQUE DE CAXIAS,1392,4,0,14,0,573,84,200
726,1156,525,2780,PILAR,25233170,RUA COMENDADOR SILVA CARDOSO S/N,-22.70793,"RUA COMENDADOR SILVA CARDOSO S/N, PILAR, DUQUE DE CAXIAS, Rio de Janeiro",-43.30345,898,ESCOLA MUNICIPAL PROFESSORA AMÉLIA CÂMARA,DUQUE DE CAXIAS,2216,7,0,92,0,1882,281,79
1448,1424,1164,4621,VILA SÃO LUIS,25065050,"PRAÇA DA BANDEIRA, S/N",-22.63571,"PRAÇA DA BANDEIRA, S/N, VILA SÃO LUIS, DUQUE DE CAXIAS, Rio de Janeiro",-43.20961,1749,ESCOLA MUNICIPAL EXPEDICIONÁRIO AQUINO DE ARAÚJO,DUQUE DE CAXIAS,1198,14,0,102,0,2872,483,78
603,566,351,1807,VILA SÃO LUIS,25065030,RUA DEPUTADO SA REGO S/N  (ESQ. COM R. PAULO DE FRONTIN),-22.77107,"RUA DEPUTADO SA REGO S/N  (ESQ. COM R. PAULO DE FRONTIN), VILA SÃO LUIS, DUQUE DE CAXIAS, Rio de Janeiro",-43.28892,638,ESCOLA ESTADUAL EUCLIDES DA CUNHA,DUQUE DE CAXIAS,1171,5,0,67,0,1169,220,200
531,1434,592,2917,TAQUARA,25270000,"RUA GENERAL FRANCISCO DE LIMA E SILVA, S/N",-22.61629,"RUA GENERAL FRANCISCO DE LIMA E SILVA, S/N, TAQUARA, DUQUE DE CAXIAS, Rio de Janeiro",-43.23564,952,ESCOLA MUNICIPAL PROFESSORA MARIA DE ARAÚJO DA SILVA - BRIZOLINHA,DUQUE DE CAXIAS,1163,8,0,78,0,1965,282,127
995,430,536,2191,PARQUE LAFAIETE,25015100,RUA EXP. AQUINO DE ARAUJO S/N ESQ. RUA RISOLETA CAETANO,-22.79168,"RUA EXP. AQUINO DE ARAUJO S/N ESQ. RUA RISOLETA CAETANO, PARQUE LAFAIETE, DUQUE DE CAXIAS, Rio de Janeiro",-43.31993,766,ESCOLA MUNICIPAL TODOS OS SANTOS,DUQUE DE CAXIAS,1503,6,0,40,0,1425,190,103
501,506,481,1700,CENTRO,25020100,RUA BELISARIO PENA 273,-22.78476,"RUA BELISARIO PENA 273, CENTRO, DUQUE DE CAXIAS, Rio de Janeiro",-43.31091,693,ESCOLA MUNICIPAL ALVARO ALBERTO,DUQUE DE CAXIAS,1155,6,0,40,0,1007,172,103
723,820,649,2471,CENTENÁRIO,25030160,"R. JOÃO RIBEIRO, 73",-22.7801269,"R. JOÃO RIBEIRO, 73, CENTENÁRIO, DUQUE DE CAXIAS, Rio de Janeiro",-43.3160332,928,JARDIM ESCOLA LUZ E SABER,DUQUE DE CAXIAS,1376,7,0,71,0,1543,208,77
1321,1381,1037,4223,COPACABANA,25060445,AV PREFEITO BRAULINO DE MATOS REIS 1410,-22.7616299,"AV PREFEITO BRAULINO DE MATOS REIS 1410, COPACABANA, DUQUE DE CAXIAS, Rio de Janeiro",-43.2988299,1521,ESCOLA MUNICIPAL WILSON DE OLIVEIRA SIMÕES (LICEU),DUQUE DE CAXIAS,1040,13,0,113,0,2702,371,78
494,453,472,1627,JARDIM 25 DE AGOSTO,25075025,RUA MARECHAL FLORIANO 555,-22.7936846,"RUA MARECHAL FLORIANO 555, JARDIM 25 DE AGOSTO, DUQUE DE CAXIAS, Rio de Janeiro",-43.3003038,680,CEDERJ - CENTRO DE EDUCAÇÃO SUPERIOR À DISTÂNCIA (ANT COL SANTA LUZIA),DUQUE DE CAXIAS,1040,4,0,44,0,947,164,66
